Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Afghanistan,AFG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Afghanistan,AFG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.341295010244941,0.283520428637379
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Albania,ALB,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Albania,ALB,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,7.17839965085567,4.31230074865298
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Algeria,DZA,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Algeria,DZA,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.127007983956505,0.11666597996459
American Samoa,ASM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
American Samoa,ASM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
American Samoa,ASM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Andorra,AND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Andorra,AND,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Andorra,AND,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Angola,AGO,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Angola,AGO,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,9.45700416406799,12.0723477052723
Antigua and Barbuda,ATG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Antigua and Barbuda,ATG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Antigua and Barbuda,ATG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Argentina,ARG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Argentina,ARG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,6.9248953937067,9.32016716100439
Armenia,ARM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Armenia,ARM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Armenia,ARM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,13.1518028267039,14.9086814743868
Aruba,ABW,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Aruba,ABW,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Aruba,ABW,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Australia,AUS,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Australia,AUS,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Austria,AUT,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Austria,AUT,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Austria,AUT,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Azerbaijan,AZE,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Azerbaijan,AZE,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,6.00719326595315,4.70323317002441
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
"Bahamas, The",BHS,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
"Bahamas, The",BHS,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
