"","Overall.rank_18","Country.or.region","Score_18","GDP.per.capita_18","Social.support_18","Healthy.life.expectancy_18","Freedom.to.make.life.choices_18","Generosity_18","Overall.rank_19","Score_19","GDP.per.capita_19","Social.support_19","Healthy.life.expectancy_19","Freedom.to.make.life.choices_19","Generosity_19"
"1",1,"Finland",7.632,1.305,1.592,0.874,0.681,0.202,1,7.769,1.34,1.587,0.986,0.596,0.153
"2",2,"Norway",7.594,1.456,1.582,0.861,0.686,0.286,3,7.554,1.488,1.582,1.028,0.603,0.271
"3",3,"Denmark",7.555,1.351,1.59,0.868,0.683,0.284,2,7.6,1.383,1.573,0.996,0.592,0.252
"4",4,"Iceland",7.495,1.343,1.644,0.914,0.677,0.353,4,7.494,1.38,1.624,1.026,0.591,0.354
"5",5,"Switzerland",7.487,1.42,1.549,0.927,0.66,0.256,6,7.48,1.452,1.526,1.052,0.572,0.263
"6",6,"Netherlands",7.441,1.361,1.488,0.878,0.638,0.333,5,7.488,1.396,1.522,0.999,0.557,0.322
"7",7,"Canada",7.328,1.33,1.532,0.896,0.653,0.321,9,7.278,1.365,1.505,1.039,0.584,0.285
"8",8,"New Zealand",7.324,1.268,1.601,0.876,0.669,0.365,8,7.307,1.303,1.557,1.026,0.585,0.33
"9",9,"Sweden",7.314,1.355,1.501,0.913,0.659,0.285,7,7.343,1.387,1.487,1.009,0.574,0.267
"10",10,"Australia",7.272,1.34,1.573,0.91,0.647,0.361,11,7.228,1.372,1.548,1.036,0.557,0.332
"11",11,"United Kingdom",7.19,1.244,1.433,0.888,0.464,0.262,15,7.054,1.333,1.538,0.996,0.45,0.348
"12",12,"Austria",7.139,1.341,1.504,0.891,0.617,0.242,10,7.246,1.376,1.475,1.016,0.532,0.244
"13",13,"Costa Rica",7.072,1.01,1.459,0.817,0.632,0.143,12,7.167,1.034,1.441,0.963,0.558,0.144
"14",14,"Ireland",6.977,1.448,1.583,0.876,0.614,0.307,16,7.021,1.499,1.553,0.999,0.516,0.298
"15",15,"Germany",6.965,1.34,1.474,0.861,0.586,0.273,17,6.985,1.373,1.454,0.987,0.495,0.261
"16",16,"Belgium",6.927,1.324,1.483,0.894,0.583,0.188,18,6.923,1.356,1.504,0.986,0.473,0.16
"17",17,"Luxembourg",6.91,1.576,1.52,0.896,0.632,0.196,14,7.09,1.609,1.479,1.012,0.526,0.194
"18",18,"United States",6.886,1.398,1.471,0.819,0.547,0.291,19,6.892,1.433,1.457,0.874,0.454,0.28
"19",19,"Israel",6.814,1.301,1.559,0.883,0.533,0.354,13,7.139,1.276,1.455,1.029,0.371,0.261
"20",20,"United Arab Emirates",6.774,2.096,0.776,0.67,0.284,0.186,21,6.825,1.503,1.31,0.825,0.598,0.262
"21",21,"Czech Republic",6.711,1.233,1.489,0.854,0.543,0.064,20,6.852,1.269,1.487,0.92,0.457,0.046
"22",22,"Malta",6.627,1.27,1.525,0.884,0.645,0.376,22,6.726,1.3,1.52,0.999,0.564,0.375
"23",23,"France",6.489,1.293,1.466,0.908,0.52,0.098,24,6.592,1.324,1.472,1.045,0.436,0.111
"24",24,"Mexico",6.488,1.038,1.252,0.761,0.479,0.069,23,6.595,1.07,1.323,0.861,0.433,0.074
"25",25,"Chile",6.476,1.131,1.331,0.808,0.431,0.197,26,6.444,1.159,1.369,0.92,0.357,0.187
"26",26,"Taiwan",6.441,1.365,1.436,0.857,0.418,0.151,25,6.446,1.368,1.43,0.914,0.351,0.242
"27",27,"Panama",6.43,1.112,1.438,0.759,0.597,0.125,31,6.321,1.149,1.442,0.91,0.516,0.109
"28",28,"Brazil",6.419,0.986,1.474,0.675,0.493,0.11,32,6.3,1.004,1.439,0.802,0.39,0.099
"29",29,"Argentina",6.388,1.073,1.468,0.744,0.57,0.062,47,6.086,1.092,1.432,0.881,0.471,0.066
"30",30,"Guatemala",6.382,0.781,1.268,0.608,0.604,0.179,27,6.436,0.8,1.269,0.746,0.535,0.175
"31",31,"Uruguay",6.379,1.093,1.459,0.771,0.625,0.13,33,6.293,1.124,1.465,0.891,0.523,0.127
