show_id_imdb,title,type_orginal,director_orginal,country_orginal,date_added_orginal,release_year_orginal,listed_in_orginal,description_orginal,duration,rating_imdb
80074220,3%,TV Show,,Brazil,"August 14, 2020",2020,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",3 Seasons,7.8
80134885,7:19,Movie,Jorge Michel Grau,Mexico,"December 23, 2016",2016,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",93 min,6
70270949,23:59,Movie,Gilbert Chan,Singapore,"December 20, 2018",2011,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",78 min,5
70113538,9,Movie,Shane Acker,United States,"November 16, 2017",2009,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",80 min,7.2
70084788,21,Movie,Robert Luketic,United States,"January 1, 2020",2008,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,123 min,6.9
80158301,46,TV Show,Serdar Akar,Turkey,"July 1, 2017",2016,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",1 Season,7
26597413,187,Movie,Kevin Reynolds,United States,"November 1, 2019",1997,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",119 min,6.8
81086434,706,Movie,Shravan Kumar,India,"April 1, 2019",2019,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",118 min,5.5
70117674,1920,Movie,Vikram Bhatt,India,"December 15, 2017",2008,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,143 min,6.7
80135164,1922,Movie,Zak Hilditch,United States,"October 20, 2017",2017,"Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",103 min,6.3
